,count,mean,std,min,25%,50%,75%,max
v0,17664.0,-0.0006738421529703889,0.005204513650771248,-0.0355157398774928,0.0001302945518639,0.0003567684508159,0.0006619262095075001,0.0167857252622888
v1,17664.0,-0.00039999375965199324,0.002368716799434659,-0.0187818329389884,5.469303611198295e-05,0.00020581017100249998,0.00035217108229942495,0.0084775626243476
v2,17664.0,-0.0003318531116274866,0.001435229410020666,-0.0093102321516943,-0.000459482165897625,0.0001210412489067,0.000234536691771975,0.0048326440475439
v3,17664.0,-0.0003426791381768793,0.0010612786293045175,-0.0073822865248483,-0.00079408278748775,-3.84736215067183e-07,0.00018540075436667498,0.0032823999877231
v4,17664.0,-0.0003432642060753477,0.000869589106219377,-0.0065476770827313,-0.0008093929371399,-0.00016770583283155002,0.00019342790147292498,0.0025488502568834
v5,17664.0,-0.00034002664349558505,0.0007452265094951084,-0.0043418218552042,-0.0007629890666577749,-0.00029044269589319997,0.000210855422778425,0.0021768184613042
v6,17664.0,-0.00034961872985173975,0.0007215794505882501,-0.0040030164088643,-0.000785075736982575,-0.00025346562475440004,0.000217967110840075,0.0020275446407039
v7,17664.0,-0.000349687254785505,0.0007598486412261819,-0.0051484345580178,-0.000783769756017275,-0.0002621966932423,0.0001977937965296,0.002034096650781
v8,17664.0,-0.00034927723026790365,0.0008829930249361337,-0.0064681796817627,-0.000803485553538875,-0.00011897064987145001,0.0001708137442545,0.0026954254169716
v9,17664.0,-0.0003503834173192371,0.0010450035160850329,-0.0071807050251561,-0.000751266035547625,2.414432263137152e-05,0.00018405177028854998,0.0026340922833999
v10,17664.0,-0.000354626577377868,0.0014319536208294214,-0.0086590142181193,-0.0005119520118508499,0.00011180318477545,0.00023714668644755,0.005500299922732
v11,17664.0,-0.00045430568855977306,0.0023505766006046967,-0.0177082646513213,2.5054527377997224e-05,0.00019843342327165,0.000347017606092025,0.0052573678288822
v12,17664.0,-0.0006491088456304676,0.004868597005478068,-0.036980770360275,0.000130297400078775,0.00036434504702144996,0.000616522401782425,0.0099045150997736
v13,17664.0,-0.0007536356391388053,0.005181788012234292,-0.0439790089438684,0.000134431928124225,0.00033831468158635,0.000633100935389725,0.0051465429908739
